"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_536","griseocollis","Male","Male",41.967222,-87.662148,2011,229,"K.C. Matteson","41.967, -87.662",2816.548295,394.0390909,168.46511627907,2865.265,1.384153468,0.0351462582395032
"BBNA_581","griseocollis","Male","Male",41.779276,-87.607299,2011,201,"K.C. Matteson","41.779, -87.607",2886.598864,421.4293182,178.12023255814,2904.08,1.289437839,0.407143870745064
"BBNA_582","griseocollis","Male","Male",41.779276,-87.607299,2011,216,"K.C. Matteson","41.779, -87.607",2886.598864,421.4293182,178.12023255814,2904.08,1.289437839,0.407143870745064
"BBNA_868","griseocollis","Male","Male",40.864136,-73.89272,2005,196,"K.C. Matteson","40.864, -73.893",3178.320909,451.0440909,278.310465116279,3322.225,-1.750081341,0.2899028808484
"BBNA_1891","griseocollis","Male","Male",43.5229988,-80.1679993,2008,237,"Marianna Horn","43.523, -80.168",2061.547273,373.5377273,224.753953488372,1972.51,1.975389626,1.99115740823955
"BBNA_3209","griseocollis","Male","Male",42.7107,-72.9529,2008,212,"C. Scully","42.711, -72.953",2049.071818,495.2679545,291.614186046512,2049.775,1.440841808,3.08536029084579
"BBNA_9230","griseocollis","Female","Queen",32.24379,-80.73406,2008,151,"P.H. Williams","32.244, -80.734",5404.302955,617.9865909,251.500697674419,5360.245,-0.947254896,0.530702235479067
"BBNA_9247","griseocollis","Male","Male",32.30615,-81.01818,2008,149,"P.H. Williams","32.306, -81.018",5299.693977,596.1818182,266.77511627907,5218.23,-1.167031393,0.91024933198022
"BBNA_9249","griseocollis","Male","Male",32.30615,-81.01818,2008,152,"P.H. Williams","32.306, -81.018",5299.693977,596.1818182,266.77511627907,5218.23,-1.167031393,0.91024933198022
"BBNA_9282","griseocollis","Male","Male",35.7318,-83.44666,2006,158,"P.H. Williams","35.732, -83.447",3419.801136,526.1075,379.78488372093,3448.915,1.29186042,0.0405427715728768
"BBNA_9283","griseocollis","Female","Queen",35.7318,-83.44666,2006,158,"P.H. Williams","35.732, -83.447",3419.801136,526.1075,379.78488372093,3448.915,1.29186042,0.0405427715728768
"BBNA_9310","griseocollis","Female","Queen",38.99736,-84.71411,2006,152,"P.H. Williams","38.997, -84.714",3254.657386,409.3918182,272.118837209302,3190.935,0.246995395,-0.698969368172174
"BBNA_9312","griseocollis","Male","Male",38.99736,-84.71411,2006,152,"P.H. Williams","38.997, -84.714",3254.657386,409.3918182,272.118837209302,3190.935,0.246995395,-0.698969368172174
"BBNA_9324","griseocollis","Female","Queen",39.02228,-84.62856,2006,152,"P.H. Williams","39.022, -84.629",3224.137727,418.7325,275.787674418605,3159.37,0.19486386,-0.779110945561972
"BBNA_9378","griseocollis","Male","Male",43.62782,-79.32858,2007,183,"P.H. Williams","43.628, -79.329",2487.148636,296.1163636,175.496046511628,2642.355,-2.131837756,-0.807435825799713
