"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_784","impatiens","Male","Male",40.864136,-73.892684,2003,198,"K.C. Matteson","40.864, -73.893",3178.320909,451.0440909,278.310465116279,2998.3,1.36673661,0.42204048159755
"BBNA_787","impatiens","Male","Male",40.864136,-73.892698,2004,211,"K.C. Matteson","40.864, -73.893",3178.320909,451.0440909,278.310465116279,3160.62,1.748240663,0.0397566145531614
"BBNA_790","impatiens","Male","Male",40.864136,-73.89273,2005,216,"K.C. Matteson","40.864, -73.893",3178.320909,451.0440909,278.310465116279,3322.225,-1.750081341,0.2899028808484
"BBNA_829","impatiens","Male","Male",40.843814,-73.907403,2005,257,"K.C. Matteson","40.844, -73.907",3203.605795,452.7063636,275.973023255814,3344.795,-1.68607443,0.218462860189244
"BBNA_836","impatiens","Male","Male",40.84787,-73.884705,2005,225,"K.C. Matteson","40.848, -73.885",3207.409205,446.9825,274.076279069767,3342.275,-1.751382118,0.245092231598017
"BBNA_850","impatiens","Male","Male",40.790107,-73.944842,2005,195,"K.C. Matteson","40.79, -73.945",3257.188523,444.4313636,267.017209302326,3407.965,-1.481154149,0.186006719922556
"BBNA_853","impatiens","Male","Male",40.790107,-73.944859,2005,235,"K.C. Matteson","40.79, -73.945",3257.188523,444.4313636,267.017209302326,3407.965,-1.481154149,0.186006719922556
"BBNA_1657","impatiens","Female","Queen",32.453178,-83.767757,1986,83,"J.H. Cane","32.453, -83.768",4910.61375,450.5222727,358.649302325581,5191.16,-0.920475511,-1.26066139260212
"BBNA_1663","impatiens","Male","Male",32.609857,-85.480782,1996,269,"J.H. Cane","32.61, -85.481",4469.556023,464.5945455,408.998604651163,4197.215,-0.452116693,0.27164113253961
"BBNA_1680","impatiens","Female","Queen",32.55225,-85.406083,1987,91,"J.H. Cane","32.552, -85.406",4608.37375,452.4743182,392.396976744186,4550.72,-0.077602149,0.304225971690753
"BBNA_1682","impatiens","Female","Queen",39.154743,-77.240515,2010,318,"S. Droege","39.155, -77.241",3306.342045,412.2331818,243.90023255814,3564.525,0.790439193,1.35730485278427
"BBNA_1684","impatiens","Female","Queen",32.589293,-83.826088,1987,92,"A.A. Amis","32.589, -83.826",4813.639545,454.8711364,355.653023255814,4699.81,-0.663985061,1.13567488554844
"BBNA_1877","impatiens","Male","Male",43.4539986,-80.4670029,2008,144,"Marianna Horn","43.454, -80.467",2113.905568,353.2725,214.341395348837,2043.29,1.760297604,1.61743264209643
"BBNA_3065","impatiens","Male","Male",42.6986,-73.2081,2008,265,"C. Scully","42.699, -73.208",2225.978409,446.2040909,221.44976744186,2197.705,1.231771708,1.86512233628403
"BBNA_3133","impatiens","Male","Male",42.7033,-73.0473,2008,285,"C. Scully","42.703, -73.047",1726.125795,583.0061364,328.589069767442,1801.515,1.485991437,2.35654455358354
"BBNA_3175","impatiens","Male","Male",42.6162,-73.0722,2008,226,"C. Scully","42.616, -73.072",1771.043068,552.7140909,315.128372093023,1837.03,1.137953987,2.14306497281961
"BBNA_3177","impatiens","Male","Male",42.6162,-73.0722,2008,267,"C. Scully","42.616, -73.072",1771.043068,552.7140909,315.128372093023,1837.03,1.137953987,2.14306497281961
"BBNA_3218","impatiens","Male","Male",42.7107,-72.9529,2008,286,"C. Scully","42.711, -72.953",2049.071818,495.2679545,291.614186046512,2049.775,1.440841808,3.08536029084579
"BBNA_3270","impatiens","Male","Male",42.595,-73.2466,2008,284,"C. Scully","42.595, -73.247",1984.045,518.3252273,272.945813953488,1995.91,1.16661375,1.8696417372571
"BBNA_3399","impatiens","Male","Male",42.6868,-73.1712,2008,288,"C. Scully","42.687, -73.171",2119.423182,475.0406818,244.548372093023,2107.06,1.241294449,2.08336999688812
"BBNA_3567","impatiens","Male","Male",42.6949,-73.0903,2008,285,"C. Scully","42.695, -73.09",2076.998864,485.9681818,262.802093023256,2072.435,1.164977496,2.42048032850572
"BBNA_3726","impatiens","Male","Male",42.5494,-73.0958,2008,282,"C. Scully","42.549, -73.096",1794.928523,544.9979545,307.717441860465,1857.4,1.158637997,2.20483831639552
"BBNA_3874","impatiens","Male","Male",42.7051,-73.1276,2008,283,"C. Scully","42.705, -73.128",2106.29375,477.5134091,249.157441860465,2094.83,1.266320526,2.26918003523885
"BBNA_3997","impatiens","Male","Male",42.6398,-73.0328,2008,268,"C. Scully","42.64, -73.033",1824.198523,544.4913636,313.496046511628,1882.17,1.302564875,2.53107665076548
"BBNA_4023","impatiens","Male","Male",42.7406,-73.0637,2008,218,"C. Scully","42.741, -73.064",2047.213295,494.4586364,269.91976744186,2048.125,1.353168713,2.35443518746957
"BBNA_4050","impatiens","Male","Male",42.7406,-73.0637,2008,286,"C. Scully","42.741, -73.064",2047.213295,494.4586364,269.91976744186,2048.125,1.353168713,2.35443518746957
"BBNA_4124","impatiens","Male","Male",42.6555,-73.2052,2008,289,"C. Scully","42.656, -73.205",2118.665909,477.6386364,245.786511627907,2108.625,1.508965888,1.86903797575062
"BBNA_9251","impatiens","Male","Male",32.30615,-81.01818,2008,149,"P.H. Williams","32.306, -81.018",5299.693977,596.1818182,266.77511627907,5218.23,-1.167031393,0.91024933198022
"BBNA_9258","impatiens","Male","Male",33.22218,-80.46821,2006,159,"P.H. Williams","33.222, -80.468",4880.557045,587.2479545,294.484651162791,4836.725,-0.292079599,-0.783285892575561
"BBNA_9285","impatiens","Female","Queen",35.7318,-83.44666,2006,158,"P.H. Williams","35.732, -83.447",3419.801136,526.1075,379.78488372093,3448.915,1.29186042,0.0405427715728768
"BBNA_9297","impatiens","Female","Queen",36.05,-94.1666667,1999,101,"P.H. Williams","36.05, -94.167",3861.805568,405.6172727,230.575581395349,3985.21,-0.090320717,-0.810483449938552
"BBNA_9380","impatiens","Female","Queen",43.62782,-79.32858,2007,183,"P.H. Williams","43.628, -79.329",2487.148636,296.1163636,175.496046511628,2642.355,-2.131837756,-0.807435825799713
"BBNA_9386","impatiens","Female","Queen",43.64367,-79.46582,1983,131,"P.H. Williams","43.644, -79.466",2433.427386,303.5477273,173.946046511628,2346.185,-1.365744067,-0.544362420158147
"BBNA_9459","impatiens","Female","Queen",43.78959,-79.18894,2008,168,"P.H. Williams","43.79, -79.189",2342.008636,323.4927273,188.657209302326,2270.995,1.594722172,1.59710566120747
"BBNA_9461","impatiens","Female","Queen",43.78959,-79.18894,2008,172,"P.H. Williams","43.79, -79.189",2342.008636,323.4927273,188.657209302326,2270.995,1.594722172,1.59710566120747
