"","species","step1","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC","dAIC"
"1","B. auricomus",1,"",NA,NA,6346,65355.28,65355.28,0
"2","B. bimaculatus",1,"",NA,NA,31541,330713.24,330713.24,0
"3","B. borealis",1,"",NA,NA,5323,53803.26,53803.26,0
"4","B. fervidus",1,"",NA,NA,6743,72108.59,72108.59,0
"5","B. fraternus",1,"",NA,NA,1057,11874.05,11874.05,2.25
"6","B. fraternus",2,"GDD5diff",1,1.91,1058,11872.15,11872.15,0.34
"7","B. fraternus",3,"avgWinterPrecip",1,0.34,1059,11871.81,11871.81,0
"8","B. griseocollis",1,"",NA,NA,40381,419981.71,419981.71,0
"9","B. impatiens",1,"",NA,NA,107612,1220293.56,1220293.56,1.23
"10","B. impatiens",2,"GDD5diff",1,1.23,107613,1220292.34,1220292.34,0
"11","B. pensylvanicus",1,"",NA,NA,11489,130469.08,130469.08,1.43
"12","B. pensylvanicus",2,"avgWinterPrecip",1,1.43,11490,130467.65,130467.65,0
"13","B. perplexus",1,"",NA,NA,7501,78935.95,78935.95,0
"14","B. rufocinctus",1,"",NA,NA,8500,87735.76,87735.76,0
"15","B. sandersoni",1,"",NA,NA,911,9378.68,9378.68,1.75
"16","B. sandersoni",2,"avgWinterPrecip",1,1.2,912,9377.47,9377.47,0.54
"17","B. sandersoni",3,"GDD5diff",1,0.54,913,9376.93,9376.93,0
"18","B. ternarius",1,"",NA,NA,16310,178446.75,178446.75,0
"19","B. terricola",1,"",NA,NA,5493,57658.16,57658.16,1.78
"20","B. terricola",2,"avgWinterPrecip",1,1.78,5494,57656.38,57656.38,0
"21","B. vagans",1,"",NA,NA,8297,86985.5,86985.5,0
