"latitude","longitude","avgGDD5"
41.967,-87.662,2816.548295
41.794,-87.667,2888.681364
41.918,-87.712,2850.258068
41.843,-87.709,2884.159205
41.958,-87.712,2833.454545
41.818,-87.621,2874.672727
41.893,-87.721,2858.814091
41.759,-87.633,2893.120682
41.745,-87.589,2890.291818
41.721,-87.628,2891.846136
41.727,-87.556,2889.973409
41.779,-87.607,2886.598864
41.922,-87.667,2848.755795
40.845,-73.898,3209.383295
40.846,-73.888,3207.409205
40.84,-73.878,3227.580795
40.798,-73.933,3275.834545
40.797,-73.932,3275.834545
40.847,-73.894,3209.383295
40.79,-73.945,3257.188523
40.844,-73.881,3207.409205
40.848,-73.885,3207.409205
40.795,-73.944,3257.188523
40.8,-73.938,3262.103864
40.864,-73.893,3178.320909
40.849,-73.885,3207.409205
40.796,-73.934,3275.834545
40.803,-73.94,3262.103864
40.844,-73.907,3203.605795
40.8,-73.944,3262.103864
45.408,-73.953,2209.116364
32.453,-83.768,4910.61375
32.541,-85.367,4544.261023
32.61,-85.481,4469.556023
35.431,-82.501,3306.885795
29.642,-82.336,5825.922727
35.7,-80.59,3889.3925
30.23,-88.651,5652.480682
32.552,-85.406,4608.37375
39.155,-77.241,3306.342045
30.769,-86.982,5365.399545
32.589,-83.826,4813.639545
44.602,-75.691,2221.766818
47.738,-53.228,1332.517841
31.54,-84.315,5196.149318
34.577,-80.175,4431.290795
34.582,-80.22,4402.212045
35.56,-83.45,2148.014205
35.567,-83.461,2016.868864
35.6,-83.43,2147.824886
35.692,-83.534,3389.766705
36.097,-81.83,2031.500568
36.111,-81.811,1959.470795
36.88,-81.13,2622.224659
38.147,-80.152,2584.624205
39,-78,3005.758864
39.204,-78.678,2409.119886
39.326,-75.474,3444.562841
39.335,-78.459,2799.433636
39.341,-78.464,2788.203864
41.757,-72.653,2775.802045
42.549,-73.096,1794.928523
42.575,-73.047,1832.057727
42.582,-73.161,2042.009545
42.619,-72.98,1911.315341
42.634,-73.141,2077.992955
42.64,-73.033,1824.198523
42.651,-72.97,1863.366818
42.687,-73.171,2119.423182
42.69,-72.996,1815.049659
42.701,-73.264,1949.175795
42.703,-73.047,1726.125795
42.705,-73.128,2106.29375
42.711,-72.953,2049.071818
42.726,-73.094,2076.050114
42.741,-73.064,2047.213295
43.342,-80.275,2158.792955
43.355,-80.298,2160.398977
43.366,-80.287,2150.823977
43.403,-80.308,2136.143636
43.405,-80.436,2144.45125
43.454,-80.467,2113.905568
43.488,-80.202,2082.831477
43.508,-80.505,2106.320795
43.509,-80.207,2088.617614
43.516,-80.487,2115.653295
43.523,-80.168,2061.547273
43.524,-80.17,2081.208295
43.525,-80.172,2081.208295
43.526,-80.173,2081.208295
43.528,-80.171,2081.171705
43.541,-80.3,2072.976023
43.554,-80.244,2073.060341
43.588,-80.254,2065.204205
43.596,-80.252,2061.802273
43.666,-79.411,2425.74375
43.775,-79.505,2285.825114
43.776,-66.127,1695.811591
43.816,-79.983,2056.51375
43.82,-79.97,2096.327273
43.989,-77.704,2210.213977
43.993,-66.146,1731.519318
44.02,-71.52,1400.18375
44.033,-79.528,2104.006023
44.235,-66.37,1737.181364
44.368,-66.094,1764.009545
44.48,-77.67,2066.582273
44.532,-64.022,1853.993409
44.775,-64.478,1821.508295
44.909,-75.32,2200.159886
44.914,-64.979,1866.667955
44.927,-64.93,1794.670455
44.988,-93.468,2447.168182
44.989,-64.997,1894.855455
45.037,-75.456,2184.608636
45.058,-64.792,1899.342045
45.063,-64.488,1898.981364
45.07,-64.48,1927.157045
45.073,-64.22,1830.137614
45.077,-64.318,1915.780795
45.085,-64.234,1833.878864
45.1,-64.7,1879.691136
45.119,-64.263,1927.180114
45.12,-64.2,1927.549773
45.13,-64.738,1760.532159
45.135,-64.489,1908.741136
45.139,-64.73,1778.633977
45.19,-64.415,1897.008182
45.192,-81.582,1880.331136
45.205,-64.379,1843.241932
45.298,-81.726,1852.252045
45.6,-76.042,1880.223409
45.804,-89.218,1756.668977
45.807,-78.378,1586.552955
46.023,-78.474,1731.23625
47.422,-53.295,1252.782727
47.579,-52.733,1337.160227
47.672,-53.352,1233.569886
48.51,-54.182,1314.866477
48.535,-53.991,1353.915455
48.805,-72.606,1483.690909
48.854,-72.617,1468.959318
48.857,-72.611,1468.132273
48.859,-72.618,1468.132273
48.859,-72.613,1468.132273
49.012,-55.639,1317.528636
49.03,-55.522,1372.835455
49.2,-57.414,1347.962614
49.632,-57.743,816.5636364
42.651,-72.971,1863.366818
42.616,-73.072,1771.043068
42.727,-73.014,1750.899091
42.699,-73.208,2225.978409
42.595,-73.247,1984.045
42.592,-73.117,2096.690227
42.591,-72.98,1901.85875
42.678,-73.231,2185.918977
42.67,-73.106,2179.962273
42.644,-73.27,2165.591818
42.644,-73.19,1810.798523
42.552,-73.166,2154.045682
42.733,-73.194,2201.038295
42.695,-73.09,2076.998864
42.663,-73.007,1926.916136
42.626,-73.222,2092.434773
42.639,-73.099,2136.8825
42.559,-73.023,1856.607273
42.739,-72.965,1730.061023
42.545,-72.983,1904.830909
42.743,-73.244,2186.746136
42.666,-73.041,1854.144205
42.656,-73.205,2118.665909
32.244,-80.734,5404.302955
32.273,-80.868,5346.619773
32.306,-81.018,5299.693977
33.222,-80.468,4880.557045
35.237,-77.887,4310.334886
35.314,-77.933,4316.050227
35.361,-77.928,4292.961818
35.441,-82.536,3277.434773
