"latitude","longitude","avgSummerPrecip"
41.967,-87.662,394.0390909
41.794,-87.667,414.3759091
41.918,-87.712,393.8815909
41.843,-87.709,403.4665909
41.958,-87.712,394.1977273
41.818,-87.621,415.7784091
41.893,-87.721,398.1340909
41.759,-87.633,419.2765909
41.745,-87.589,420.5015909
41.721,-87.628,417.6090909
41.727,-87.556,416.9375
41.779,-87.607,421.4293182
41.922,-87.667,391.8252273
40.845,-73.898,448.4829545
40.846,-73.888,446.9825
40.84,-73.878,440.3088636
40.798,-73.933,440.0409091
40.797,-73.932,440.0409091
40.847,-73.894,448.4829545
40.79,-73.945,444.4313636
40.844,-73.881,446.9825
40.848,-73.885,446.9825
40.795,-73.944,444.4313636
40.8,-73.938,443.585
40.864,-73.893,451.0440909
40.849,-73.885,446.9825
40.796,-73.934,440.0409091
40.803,-73.94,443.585
40.844,-73.907,452.7063636
40.8,-73.944,443.585
45.408,-73.953,379.2052273
32.453,-83.768,450.5222727
32.541,-85.367,461.2688636
32.61,-85.481,464.5945455
35.431,-82.501,474.9311364
29.642,-82.336,709.2940909
35.7,-80.59,416.3170455
30.23,-88.651,740.8688636
32.552,-85.406,452.4743182
39.155,-77.241,412.2331818
30.769,-86.982,682.91
32.589,-83.826,454.8711364
44.602,-75.691,364.9470455
47.738,-53.228,415.5368182
31.54,-84.315,487.9511364
34.577,-80.175,497.0386364
34.582,-80.22,501.3781818
35.56,-83.45,658.9709091
35.567,-83.461,681.2727273
35.6,-83.43,657.6756818
35.692,-83.534,527.0890909
36.097,-81.83,634.2829545
36.111,-81.811,644.2934091
36.88,-81.13,437.9511364
38.147,-80.152,405.1847727
39,-78,424.9931818
39.204,-78.678,474.5647727
39.326,-75.474,453.3222727
39.335,-78.459,430.3263636
39.341,-78.464,433.6563636
41.757,-72.653,437.0577273
42.549,-73.096,544.9979545
42.575,-73.047,532.7029545
42.582,-73.161,491.6895455
42.619,-72.98,519.6343182
42.634,-73.141,486.1968182
42.64,-73.033,544.4913636
42.651,-72.97,531.3697727
42.687,-73.171,475.0406818
42.69,-72.996,551.5034091
42.701,-73.264,530.2970455
42.703,-73.047,583.0061364
42.705,-73.128,477.5134091
42.711,-72.953,495.2679545
42.726,-73.094,485.6593182
42.741,-73.064,494.4586364
43.342,-80.275,358.2822727
43.355,-80.298,357.4013636
43.366,-80.287,359.005
43.403,-80.308,361.3479545
43.405,-80.436,353.2834091
43.454,-80.467,353.2725
43.488,-80.202,365.3284091
43.508,-80.505,342.8443182
43.509,-80.207,360.8540909
43.516,-80.487,337.8440909
43.523,-80.168,373.5377273
43.524,-80.17,363.8779545
43.525,-80.172,363.8779545
43.526,-80.173,363.8779545
43.528,-80.171,363.4393182
43.541,-80.3,357.0981818
43.554,-80.244,360.4034091
43.588,-80.254,358.3868182
43.596,-80.252,358.5745455
43.666,-79.411,310.3606818
43.775,-79.505,335.1138636
43.776,-66.127,378.0227273
43.816,-79.983,336.8995455
43.82,-79.97,323.6843182
43.989,-77.704,322.285
43.993,-66.146,379.7518182
44.02,-71.52,559.7947727
44.033,-79.528,356.1479545
44.235,-66.37,368.5215909
44.368,-66.094,375.8568182
44.48,-77.67,356.6459091
44.532,-64.022,410.6745455
44.775,-64.478,433.5143182
44.909,-75.32,371.6788636
44.914,-64.979,395.7468182
44.927,-64.93,418.5222727
44.988,-93.468,434.9670455
44.989,-64.997,380.0484091
45.037,-75.456,361.3402273
45.058,-64.792,373.7104545
45.063,-64.488,380.8740909
45.07,-64.48,372.9427273
45.073,-64.22,407.4315909
45.077,-64.318,381.8809091
45.085,-64.234,405.9452273
45.1,-64.7,376.8620455
45.119,-64.263,377.57
45.12,-64.2,379.3688636
45.13,-64.738,416.8306818
45.135,-64.489,370.9847727
45.139,-64.73,411.0361364
45.19,-64.415,374.5256818
45.192,-81.582,303.0027273
45.205,-64.379,390.9215909
45.298,-81.726,300
45.6,-76.042,428.0536364
45.804,-89.218,406.9720455
45.807,-78.378,416.1193182
46.023,-78.474,411.7909091
47.422,-53.295,463.1025
47.579,-52.733,412.6611364
47.672,-53.352,467.0463636
48.51,-54.182,403.2859091
48.535,-53.991,380.0595455
48.805,-72.606,410.8102273
48.854,-72.617,414.1861364
48.857,-72.611,414.0922727
48.859,-72.618,414.0922727
48.859,-72.613,414.0922727
49.012,-55.639,429.4081818
49.03,-55.522,412.1734091
49.2,-57.414,407.2840909
49.632,-57.743,619.7704545
42.651,-72.971,531.3697727
42.616,-73.072,552.7140909
42.727,-73.014,572.3434091
42.699,-73.208,446.2040909
42.595,-73.247,518.3252273
42.592,-73.117,477.7704545
42.591,-72.98,517.5404545
42.678,-73.231,459.6729545
42.67,-73.106,457.5927273
42.644,-73.27,473.7597727
42.644,-73.19,563.6593182
42.552,-73.166,465.7670455
42.733,-73.194,451.5065909
42.695,-73.09,485.9681818
42.663,-73.007,521.9295455
42.626,-73.222,486.2836364
42.639,-73.099,470.8863636
42.559,-73.023,522.9809091
42.739,-72.965,570.4234091
42.545,-72.983,510.8488636
42.743,-73.244,459.3045455
42.666,-73.041,542.3879545
42.656,-73.205,477.6386364
32.244,-80.734,617.9865909
32.273,-80.868,621.3497727
32.306,-81.018,596.1818182
33.222,-80.468,587.2479545
35.237,-77.887,590.5779545
35.314,-77.933,577.5781818
35.361,-77.928,573.2504545
35.441,-82.536,471.8806818
35.556,-83.495,720.6063636
35.732,-83.447,526.1075
35.761,-83.357,517.3679545
35.948,-83.207,440.5502273
36.05,-94.167,405.6172727
36.081,-79.96,438.6284091
36.56,-80.746,441.1965909
37.89,-79.284,439.3947727
38.997,-84.714,409.3918182
39.004,-84.626,421.6693182
39.022,-84.629,418.7325
40.117,-88.233,405.9461364
40.314,-76.83,452.6788636
41.925,-74.864,521.8338636
42.926,-79.25,344.8954545
43.258,-81.833,350.3825
43.628,-79.329,296.1163636
43.644,-79.466,303.5477273
43.66,-79.917,324.2404545
43.668,-81.019,381.2902273
43.79,-79.189,323.4927273
43.792,-79.194,327.0106818
43.815,-79.977,323.6843182
43.832,-80.438,386.3002273
43.856,-79.184,343.7913636
43.899,-80.315,383.5006818
43.943,-78.434,339.5436364
44.02,-77.737,323.2929545
44.076,-68.633,391.8334091
44.422,-76.911,356.2129545
45.179,-81.541,312.3625
45.385,-77.795,402.8236364
45.5,-77.683,379.9156818
45.6,-80.383,342.0356818
46.5,-63.399,370.4995455
48.036,-83.356,379.905
48.75,-94,395.9
48.775,-86.61,323.4968182
48.037,-83.299,383.8161364
44.254,-72.519,438.1652273
44.234,-72.51,430.1754545
44.884,-73.283,401.1104545
44.885,-73.335,400.5052273
44.133,-72.616,487.4602273
44.263,-72.506,431.6475
44.282,-72.544,462.35
44.268,-72.571,422.05
44.356,-72.457,437.7640909
44.826,-72.538,696.1888636
43.418,-72.462,440.525
44.703,-72.338,491.13
