"site","latitude","longitude"
1,41.967,-87.662
2,41.794,-87.667
3,41.918,-87.712
4,41.843,-87.709
5,41.958,-87.712
6,41.818,-87.621
7,41.893,-87.721
8,41.759,-87.633
9,41.745,-87.589
10,41.721,-87.628
11,41.727,-87.556
12,41.779,-87.607
13,41.922,-87.667
14,40.845,-73.898
15,40.846,-73.888
16,40.84,-73.878
17,40.798,-73.933
18,40.797,-73.932
19,40.847,-73.894
20,40.79,-73.945
21,40.844,-73.881
22,40.848,-73.885
23,40.795,-73.944
24,40.8,-73.938
25,40.864,-73.893
26,40.849,-73.885
27,40.796,-73.934
28,40.803,-73.94
29,40.844,-73.907
30,40.8,-73.944
31,45.408,-73.953
32,32.453,-83.768
33,32.541,-85.367
34,32.61,-85.481
35,35.431,-82.501
36,29.642,-82.336
37,35.7,-80.59
38,30.23,-88.651
39,32.552,-85.406
40,39.155,-77.241
41,30.769,-86.982
42,32.589,-83.826
43,44.602,-75.691
44,47.738,-53.228
45,31.54,-84.315
46,34.577,-80.175
47,34.582,-80.22
48,35.56,-83.45
49,35.567,-83.461
50,35.6,-83.43
51,35.692,-83.534
52,36.097,-81.83
53,36.111,-81.811
54,36.88,-81.13
55,38.147,-80.152
56,38.484,-76.421
57,39,-78
58,39.204,-78.678
59,39.326,-75.474
60,39.335,-78.459
61,39.341,-78.464
62,41.757,-72.653
63,42.549,-73.096
64,42.575,-73.047
65,42.582,-73.161
66,42.619,-72.98
67,42.634,-73.141
68,42.64,-73.033
69,42.651,-72.97
70,42.687,-73.171
71,42.69,-72.996
72,42.701,-73.264
73,42.703,-73.047
74,42.705,-73.128
75,42.711,-72.953
76,42.726,-73.094
77,42.741,-73.064
78,43.342,-80.275
79,43.355,-80.298
80,43.366,-80.287
81,43.403,-80.308
82,43.405,-80.436
83,43.454,-80.467
84,43.488,-80.202
85,43.508,-80.505
86,43.509,-80.207
87,43.516,-80.487
88,43.523,-80.168
89,43.524,-80.17
90,43.525,-80.172
91,43.526,-80.173
92,43.528,-80.171
93,43.541,-80.3
94,43.554,-80.244
95,43.588,-80.254
96,43.596,-80.252
97,43.666,-79.411
98,43.775,-79.505
99,43.776,-66.127
100,43.816,-79.983
101,43.82,-79.97
