"species","predictor","estimate","SE","tvalue","pvalue","CI95"
"auricomus","(Intercept)",228.660343127108,0.619294029450913,369.227430352988,0,1.21381629772379
"auricomus","avgGDD5",-6.4401279263075,0.72516812500779,-8.88087562623952,0,1.42132952501527
"auricomus","GDD5diff",-2.84844891205138,0.556968929408985,-5.11419715113004,3.24315962085819e-07,1.09165910164161
"auricomus","avgSummerPrecip",-0.426386256486318,0.659253092074438,-0.646771720318566,0.517803085265798,1.2921360604659
"bimaculatus","(Intercept)",206.423925930531,0.200017405857801,1032.02981283181,0,0.39203411548129
"bimaculatus","avgGDD5",-12.8146132661636,0.249183640113139,-51.4263828088606,0,0.488399934621753
"bimaculatus","GDD5diff",-2.85641587188485,0.155365307704632,-18.3851589140816,0,0.304516003101079
"bimaculatus","avgSummerPrecip",0.467522319393201,0.22321176069728,2.09452368429303,0.0362213137625664,0.437495050966669
"bimaculatus","summerSPI",-0.213480689611252,0.196974183090776,-1.08380035526213,0.278461612210689,0.386069398857922
"borealis","(Intercept)",241.194639639113,0.709221035799397,340.083877189642,0,1.39007323016682
"borealis","avgGDD5",-1.84802114390133,0.588777351338321,-3.1387436009566,0.0017060129485591,1.15400360862311
"borealis","avgSummerPrecip",1.5712546144277,0.711460300212177,2.20849232762406,0.0272524235399683,1.39446218841587
"borealis","summerSPI",0.878342423328681,0.675463836766619,1.30035447572326,0.193535791674716,1.32390912006257
"fervidus","(Intercept)",249.737122068309,0.568968023432685,438.929978105976,0,1.11517732592806
"fervidus","avgGDD5",-4.58838562679741,0.546362350579642,-8.39806334007008,0,1.0708702071361
"fervidus","GDD5diff",-3.68076570746869,0.590077922503682,-6.23776211089431,4.70739447422375e-10,1.15655272810722
"fervidus","avgSummerPrecip",-2.88929039681625,0.562942858277059,-5.13247544459345,2.93952965524369e-07,1.10336800222304
"fervidus","summerSPI",-0.598720152473938,0.667675547965985,-0.896723197813499,0.369898651688744,1.30864407401333
"fraternus","(Intercept)",269,1.40282184603361,191.75635221292,0,2.74953081822588
"griseocollis","(Intercept)",226.268072059127,0.237658178589647,952.073576436067,0,0.465810030035709
"griseocollis","avgGDD5",-9.22345952120281,0.280740177661351,-32.8540773822862,0,0.550250748216248
"griseocollis","GDD5diff",-3.44699517085046,0.267234172695171,-12.8987813799636,0,0.523778978482536
"griseocollis","avgSummerPrecip",-0.684878364286552,0.306383310234746,-2.23536446473475,0.0253988752531225,0.600511288060102
"griseocollis","summerSPI",-1.07659257810126,0.251975221774982,-4.27261288041517,1.93637513494771e-05,0.493871434678965
"impatiens","(Intercept)",280.479962297022,0.142442678958512,1969.07250234121,0,0.279187650758683
"impatiens","avgGDD5",7.06380286914314,0.11294437283057,62.5423178872281,0,0.221370970747918
"impatiens","GDD5diff",1.81701625219409,0.165500351738592,10.9789268307059,0,0.32438068940764
"impatiens","summerSPI",0.854123894720984,0.138126634002031,6.18362925363419,6.28685326020673e-10,0.270728202643982
"pensylvanicus","(Intercept)",270.237902531842,0.451714552102008,598.249273295086,0,0.885360522119936
"pensylvanicus","avgGDD5",6.01142783505755,0.96060768826856,6.25794266324559,4.03973299256677e-10,1.88279106900638
"pensylvanicus","avgSummerPrecip",2.62753462891538,0.883383205967383,2.97439957106497,0.00294172563865258,1.73143108369607
"perplexus","(Intercept)",216.440200895808,0.355455219449051,608.909896530106,0,0.69669223012014
"perplexus","avgGDD5",-9.48859603792202,0.393971822882736,-24.0844534730755,0,0.772184772850163
"perplexus","GDD5diff",-2.70204656028615,0.314897389989675,-8.58072072421668,0,0.617198884379763
"perplexus","summerSPI",-1.26589096903702,0.324283093685895,-3.90366008492315,9.55787446128564e-05,0.635594863624354
"rufocinctus","(Intercept)",242.590722049375,0.58869915290646,412.079278272584,0,1.15385033969666
"rufocinctus","avgGDD5",-4.5466668924082,0.557645805961919,-8.15332392676272,4.44089209850063e-16,1.09298577968536
"rufocinctus","summerSPI",0.483271684865163,0.583058600448145,0.828856112393704,0.407209100219861,1.14279485687836
"sandersoni","(Intercept)",225.311917418701,1.60147102263257,140.690598977135,0,3.13888320435984
"sandersoni","avgGDD5",-3.628988905933,1.59115482314301,-2.28072645926727,0.0227945613350644,3.1186634533603
"sandersoni","avgSummerPrecip",-1.75121863201141,1.00142695943891,-1.74872327482834,0.080675289675487,1.96279684050027
"sandersoni","summerSPI",2.20410909674336,1.42374868698601,1.54810263699651,0.12194450870059,2.79054742649258
"ternarius","(Intercept)",261.344700126959,0.508175030877287,514.280876169353,0,0.996023060519483
"ternarius","avgGDD5",-0.617826167395681,0.559081726350271,-1.10507308373124,0.269144223692805,1.09580018364653
"ternarius","GDD5diff",-0.597107571371777,0.482340459498664,-1.23793797433539,0.21575687960239,0.945387300617381
"ternarius","avgSummerPrecip",4.38441024747806,0.50895933380947,8.61446083454552,0,0.997560294266561
"ternarius","summerSPI",3.57611853840514,0.398910196574399,8.96472080461894,0,0.781863985285822
"terricola","(Intercept)",229.347787891758,0.593664194578094,386.325788192012,0,1.16358182137306
"terricola","avgGDD5",-2.61921850014272,0.528095878895907,-4.95974046534644,7.2711874676834e-07,1.03506792263598
"terricola","GDD5diff",-4.38873693374079,0.488262587233199,-8.98847679198628,0,0.956994670977071
"terricola","summerSPI",-1.25752526101708,0.565067280932137,-2.22544341789293,0.0260919210669286,1.10753187062699
"vagans","(Intercept)",252.328221786329,0.666653392278403,378.499869210826,0,1.30664064886567
"vagans","GDD5diff",-4.88249386612339,0.622068688185557,-7.84880184271064,4.88498130835069e-15,1.21925462884369
"vagans","avgSummerPrecip",2.93609079604411,0.683657165149505,4.29468298690621,1.7693533937102e-05,1.33996804369303
"vagans","summerSPI",0.519689713983164,0.595255995799155,0.873052464235088,0.382659744909292,1.16670175176634
