"species","predictor","estimate","SE","tvalue","pvalue","CI95"
"auricomus","(Intercept)",157.240352004588,0.91010583436475,172.771502024642,0,1.78380743535491
"auricomus","avgGDD5",-5.83225223663493,1.40357558192533,-4.15528191836641,3.29156017686572e-05,2.75100814057364
"auricomus","GDD5diff",-3.12655303011838,0.98605580398194,-3.17076682424319,0.00152760729169477,1.9326693758046
"auricomus","avgWinterPrecip",-2.69933551084296,1.57432239764612,-1.71460147862911,0.0864671422479426,3.08567189938639
"auricomus","winterSPI",-2.08615401611182,0.843685617915368,-2.47266751004529,0.0134368962365305,1.65362381111412
"bimaculatus","(Intercept)",121.406531572688,0.401553197826662,302.342335286532,0,0.787044267740257
"bimaculatus","avgGDD5",-13.1269938556707,0.360191775176565,-36.4444575371991,0,0.705975879346068
"bimaculatus","GDD5diff",-3.56287164118434,0.414669403722231,-8.59207746991372,0,0.812752031295572
"bimaculatus","avgWinterPrecip",-4.41852459048446,0.425263032021447,-10.3900980282284,0,0.833515542762036
"bimaculatus","winterSPI",0.320842885648794,0.331159224815881,0.968847797693623,0.332628563424707,0.649072080639127
"borealis","(Intercept)",165.385809850049,0.67890534684243,243.606580238694,0,1.33065447981116
"borealis","avgGDD5",-4.6735378970581,0.779461801739087,-5.99585237741066,2.15746465137556e-09,1.52774513140861
"borealis","GDD5diff",-1.02634549856915,0.578275705843073,-1.77483765649957,0.0759818334017432,1.13342038345242
"borealis","avgWinterPrecip",1.2569333826267,0.784289861576933,1.6026388255223,0.109073749692499,1.53720812869079
"borealis","winterSPI",2.24754248515859,0.592641272362466,3.79241640765101,0.000150841184028305,1.16157689383043
"fervidus","(Intercept)",152.247515597605,0.805716055065739,188.959267524069,0,1.57920346792885
"fervidus","avgGDD5",-4.32042963959118,0.917511500642949,-4.7088561141344,2.54093126939026e-06,1.79832254126018
"fervidus","GDD5diff",-2.59746347560364,0.853607632832962,-3.04292437847955,0.00235193274869294,1.67307096035261
"fervidus","avgWinterPrecip",-2.56052631379816,0.795665496163717,-3.21809394292411,0.00129655991576794,1.55950437248089
"fervidus","winterSPI",1.18331718957238,0.737094292056208,1.60538102428033,0.108456805585017,1.44470481243017
"fraternus","(Intercept)",137.652668738191,3.31892312389295,41.4751000850934,0,6.50508932283018
"fraternus","avgGDD5",-21.8134394730464,3.12847034359415,-6.97255753685233,5.46895861930352e-12,6.13180187344453
"fraternus","winterSPI",-3.08452003672062,3.05039259912708,-1.0111878836853,0.312157490442677,5.97876949428907
"griseocollis","(Intercept)",150.756041550786,0.386876174002132,389.675176920963,0,0.758277301044178
"griseocollis","avgGDD5",-13.4660945474163,0.395073092283336,-34.0850713714482,0,0.774343260875339
"griseocollis","GDD5diff",-4.11590983032896,0.337380841422751,-12.1995956052868,0,0.661266449188592
"griseocollis","avgWinterPrecip",-3.12417609323044,0.416477194211347,-7.50143377993715,6.43929354282591e-14,0.81629530065424
"griseocollis","winterSPI",-0.765498997795774,0.327223024426428,-2.33937999667834,0.0193206234290497,0.6413571278758
"impatiens","(Intercept)",158.972239654609,0.38743430425661,410.320505716801,0,0.759371236342955
