"species","term","estimate","SE","tvalue","pvalue"
"auricomus","(Intercept)",203.509824477557,6.54373903813465,31.0999297636369,0
"auricomus","yearGDD5",-0.0161878406191463,0.00232584683043164,-6.95997707473374,3.74500430666558e-12
"bimaculatus","(Intercept)",181.535969669118,1.14886969211208,158.012671859576,0
"bimaculatus","yearGDD5",-0.0215992647058823,0.000418616947986058,-51.5967277717616,0
"borealis","(Intercept)",197.968439445233,5.07623723187276,38.9990519359942,0
"borealis","yearGDD5",-0.0163809107786393,0.00256079426476292,-6.39680860116102,1.72213132643151e-10
"fervidus","(Intercept)",180.694444444444,5.09069368150635,35.4950534739259,0
"fervidus","yearGDD5",-0.0102853448529196,0.00196204241143128,-5.24216234725353,1.63524864760234e-07
"fraternus","(Intercept)",257.565394106944,15.532932984873,16.5818905133871,0
"fraternus","avgGDD5",-0.0270065987632031,0.00355008196883364,-7.60731695783236,6.17284001691587e-14
"griseocollis","(Intercept)",220.291105337255,1.70742249105312,129.019681122615,0
"griseocollis","yearGDD5",-0.0228919386038207,0.000590933516447717,-38.7386025105347,0
"impatiens","(Intercept)",166.716186636721,1.21661138217118,137.033229410691,0
"impatiens","avgGDD5",-0.00271469521954433,0.000446786887536103,-6.07604049106066,1.23597843071366e-09
"pensylvanicus","(Intercept)",207.711769374336,3.20689039366488,64.7704610624252,0
"pensylvanicus","yearGDD5",-0.0152802443591731,0.000844972015836211,-18.0837283043643,0
"perplexus","(Intercept)",172.047678347973,4.07098582862745,42.2619202302601,0
"perplexus","yearGDD5",-0.0120903633758713,0.00202417977276915,-5.97296916930024,2.43603315297491e-09
"rufocinctus","(Intercept)",169.354068548124,4.12341809419481,41.0712822904256,0
"rufocinctus","yearGDD5",-0.00290273655488711,0.00198708340905752,-1.46080257207919,0.144106578503155
"sandersoni","(Intercept)",199.18620848775,5.70022418990643,34.9435744721155,0
"sandersoni","yearGDD5",-0.0278791199811576,0.00310707621187542,-8.97278279644446,0
"ternarius","(Intercept)",199.099307795808,3.63883094707985,54.71518481934,0
"ternarius","yearGDD5",-0.0291795678181789,0.00189863364818382,-15.3687194188786,0
"terricola","(Intercept)",182.443586437508,7.32387181024222,24.9108109978613,0
"terricola","yearGDD5",-0.0141689218867336,0.00444280279073078,-3.18918542058515,0.00143475489175016
"vagans","(Intercept)",174.038906760556,3.30232006566092,52.7020104956799,0
"vagans","yearGDD5",-0.00506598444742772,0.00156385746597683,-3.23941571252043,0.00120246414595648
